english,klingon
That was the best day of my life.,yInwIj jaj'e' jajvetlh QaQ law' Hoch QaQ puS.
You are the great love of my life.,yInwIj bong'a' SoH.
"Don't worry, be happy!","yISaHQo', yIQuch!"
"Don't worry, be happy!","peSaHQo', peQuch!"
It's cold.,bIr.
"Could you call again later, please?",SIbI'Ha' jurI'qa'laH'a'?
Have you ever eaten a banana pie?,banan naH chab DaSopta''a'?
It's over between us. Give me back my ring!,QebwIj HInobHa'! bIQ'a'Daq 'oHtaH 'etlh'e'!
It is raining.,SIS.
"She's really smart, isn't she?",valqu' qar'a'?
"Tomorrow, I'm going to study at the library.",wa'leS paqghomDaq jIHaD.
I read a book while eating.,jISoptaHvIS paq vIlaD.
I read a book while eating.,paq vIlaDtaH jISoptaHvIS.
How many times a day do you look at yourself in the mirror?,qaStaHvIS wa' jaj 'arlogh SIla'Daq jIbej'egh?
Most people only want to hear their own truth.,vItchaj Qoy neH nuvpu' HochHom.
Classes are starting again soon.,tugh taghqa' paQDI'norgh.
It's all dark outside.,Hueghchu'taH Hur.
You're sick. You have to rest.,bIrop. bIleSnIS.
Where is the bathroom?,nuqDaq 'oH puchpa''e'?
His story was too ridiculous for anyone to believe.,lutDaj HarlaH pagh tlhoy Doghmo'.
Do you think mankind will someday colonize the Moon?,wa' jaj tera' maSDaq mID lucher Humanpu' 'e' DaHar'a'?
Why can't we tickle ourselves?,qatlh qotlh'eghlaHbe' vay'?
What?! You ate my chocolate bear?!,nuqjatlh? yuch mIl'oDwIj DaSopta'?!
Where are you?,nuqDaq SoHtaH?
Where are you?,nuqDaq tlhIHtaH?
I usually take a shower in the evening.,Hoch ram choS motlh bIQ ghaywI' pa'Daq jISay''eghmoH.
Good night. Sweet dreams.,maj ram! bInajtaHvIS qeylIS Daghomjaj!
Good night. Sweet dreams.,maj ram. bInajtaHvIS qeylIS Daghomjaj.
That way I kill two birds with one stone.,vaj cha' bo'Deghmey vIHoHmeH wa' nagh neH vIlo'nIS.
I would like batteries for this device.,janvamvaD 'ul 'aplo'mey vIneH.
Can I pay by credit card?,jIDIlmeH Huch chaw' vIlo'laH'a'?
I need your advice.,qeSlIj vIpoQ.
I knew it was plastic but it tasted like wood.,mep 'oH 'e' vISov 'ach Sor Hap wejwa' rur wejwa'Daj.
I love trips.,lengmey vImuSHa'.
I don't care.,jISaHbe'.
Fifty-two per cent of British women prefer chocolate to sex.,"yuch nga'chuqghach je qelDI', yuch lumaS vaghmaH cha' vatlhvI' tuqjIjQa' be'pu'."
To be quiet in class is to respect other people's sleep.,wa' nuv QongtaHghach vuv latlh nuv tamtaHghach.
All cats are grey in the dark.,"Hurghchugh Daq, qIj 'ej chIS Hoch vIghro'."
There's no doubt.,Honlu'be'.
He's a good person.,nuv QaQ ghaH.
No love is foul nor prison fair.,moH pagh parmaq 'ej 'IH pagh bIghHa'.
You can't get lost in big cities; there are maps everywhere!,veng'a'Daq lengHa'laHlu'be'. Dat pu'jInmey tu'lu'!
"If you eat too much, you'll become fat.",tlhoy DaSopchugh bIpI'choH.
"If you eat too much, you'll become fat.",tlhoy DaSopchugh bIrorchoH.
This knife was very useful to me.,jIHvaD lI'qu'pu' tajvam.
How much is it?,Dochvetlh DIlmeH Huch 'ar DaneH?
You arrived at the moment I left.,jImejDI' bIpaw.
Who is coming with me?,mutlhej 'Iv?
You need not telephone me.,chorI'nISbe'.
We have to take him to the hospital immediately; he is seriously injured!,SIbI' ropyaH qachDaq ghaH wIlupnIS! rIQtaH 'ej pavtaH!
You don't have to come tomorrow.,wa'leS bIjeS net poQbe'.
You don't have to come tomorrow.,wa'leS SujeS net poQbe'.
It happened a long time ago.,ben law' qaS.
"Could you turn on the light, please?",wovmoHwI' Dachu'laHneS'a'?
I can't believe my eyes.,mInDu'wIj vIHarlaHbe'.
During winter I sleep with two blankets.,"qaStaHvIS poH bIr, jIQongtaHvIS cha' tlhImmey vIlo'."
Can you keep a secret?,bIpeghlaH'a'?
"You are tired, aren't you?",bIDoy' qar'a'?
You must pay attention to him.,ghaH DabuSnIS.
You should tell him the truth.,ghaHvaD jIvItnIS.
Do you think he made that mistake on purpose?,chIch Qaghpu' ghaH 'e' DaQab'a'?
Didn't you know that he passed away two years ago?,cha' ben Heghpu' 'e' DaSovbe''a'?
Can you ride a horse?,Sargh DalIghlaH'a'?
You know the answer?,bIjanglaH'a'?
It is necessary for you to see a doctor at once.,SIbI' Qel DaghomnIS.
You ought to be ashamed.,bItuHjaj!
Who are you waiting for?,'Iv DaloSlI'?
I'm proud of you.,SoHmo' jIHem.
I'm proud of you.,tlhIHmo' jIHem.
You are to apologize to her for it.,'oHmo' ghaHvaD bItlhIjnIS.
"You may be right, but I am against your opinion.","chaq bIlugh, 'ach vuDlIj vIQoch."
You should apologize.,bItlhIjnIS.
You should look after the children from time to time.,rut puqpu' boQorghnIS.
Why were you absent yesterday?,wa'Hu' qatlh bIDach?
You worked a lot this week.,Hoghvam bIvumqu'.
You were careless in your action.,bIvangDI' bIyepHa'.
You made a wise choice.,bIwIvchu'.
"You have cleaned your shoes, haven't you?",waqmeylIj DaSay'moHta' qar'a'?
Where are you going to spend the vacation?,nuqDaq bIghIQ 'e' Danab?
You may go anywhere.,vogh DajaHlaH.
What are you looking for?,nuq DanejtaH?
What woke you up?,DuvemmoHpu' nuq?
What do you want now?,DaH nuqneH?
You dropped your pencil.,ghojmeH ghItlhwI'lIj Dachaghpu'.
Do you have any pencils?,ghojmeH ghItlhwI'mey Daghaj'a'?
You'll never be alone.,not bImob.
You'll never be alone.,not Sumob.
You nearly poked me in the eye with your pencil.,tlhoS mInwIj DuQpu' ghojmeH ghItlhwI' Dalo'taHbogh!
"If you read this book again, you will have read it three times.","paqvam DalaDqa'chugh, wejlogh DalaDnISbej."
Can you speak French?,vIraS Hol DajatlhlaH'a'?
Why did you use up all the money?,qatlh Hoch Huch Danatlh?
How tall are you?,'uj 'ar Da'ab?
You are very brave.,bIyoHqu'.
What are you doing?,nuq Data'taH?
What are you doing?,nuq bota'taH.
All you have to do is to join us.,jumuvnIS neH.
You are to start at once.,SIbI' bItaghnIS. 'ut.
When did you finish it?,ghorgh Davanta'?
Did you cut the paper?,nav Dape'pu''a'?
"You aren't a spy, are you?",ghoqwI' SoHbe' qar'a'?
You must put these mistakes right.,Qaghmeyvam DaqarmoHnIS.
Have you read this book already?,paqvam DalaDta''a'?
"You'll have this composition written by noon tomorrow, won't you?",wa'leS DungluQ ghItlhvam Daqonta' qar'a'?
You've drunk three cups of coffee.,wej qa'vIn HIvje'mey Datlhutlhta'.
You have some books.,'op paq Daghaj.
You've given me good advice.,choqeSchu'pu'.
You'll be able to drive a car in a few days.,leS puS puH Duj DachIjlaH.
"Assuming your story is true, what should I do?","teHchugh lutlIj, chay' jIvangnIS?"
Omit needless words!,'utbe'bogh mu'mey tInop!
I admire your courage.,toDujlIj vIHo'.
I forget your phone number.,ghogh HablI'lIj mI' vIqawbe'.
I forget your telephone number.,ghogh HablI'lIj mI' vIlIj.
Go back to your seat.,quSlIj yIchegh!
I don't for a moment doubt your honesty.,bIyuDHa' 'e' vIHonbe'chu'.
I read your new book with real delight.,paqlIj chu' vIlaD 'ej vItIvqu'.
I don't need your help.,QaHlIj vIwuvbe'.
I received your letter yesterday.,wa'Hu' QInlIj vIHev.
Your letter made me happy.,muQuchmoHpu' QInlIj.
Are your hands clean?,lamHa''a' ghopDu'lIj?
May I borrow your dictionary?,mu'ghomlIj vIngIplaH'a'?
Your watch is more expensive than mine.,tlhaqlIj wagh law' tlhaqwIj wagh puS.
Do you eat rice in your country?,SeplIjDaq ray' tIr Soplu''a'?
Your action has offended his dignity.,nurDaj mawpu' ta'lIj.
Your ideas are different from mine.,pIm qechmeylIj qechmeywIj je.
Your plan seems better than mine.,nablIj QaQ law'law' nabwIj QaQ puSlaw'.
Where is your school?,nuqDaq 'oH DuSaQraj'e'?
Can I use your pencil?,ghojmeH ghItlhwI'lIj vIlo' 'e' Dachaw''a'?
Your pencils need sharpening.,ghojmeH ghItlhwI'meylIj jejmoH vay' net poQ.
Your pencils need sharpening.,ghojmeH ghItlhwI'mey DajejnISmoH.
I blush for your mistake.,QaghlIjmo' Doqqu'choH qabwIj.
Your pen is better than mine.,ghItlhwI'lIj QaQ law' ghItlhwI'wIj QaQ puS.
I'd do any damn thing for you.,SoHvaD vay' vIta'qang jay'!
I respect you for what you have done.,ta'meylIjmo' qavuv.
Is this your glass or your sister's?,HIvje'lIj 'oH pagh be'nI'lI' HIvje' 'oH?
Is your uncle still abroad?,Sep novDaq ghaHtaH'a' tennuSnalwI''e'?
Your chair is identical to mine.,nIb quSwIj quSlIj'e' je.
Your T-shirt will dry soon.,tugh QaD yIvbeHlIj.
I'll tell you how to swim.,QalmeH mIw qaghojmoH
I can't lie to you.,SoHvaD jIneplaHbe'.
I can't hide the fact from you.,SoHvo' ngoD vISo'Qo'.
I would prefer to speak to you in private.,maja'chuqtaHvIS mamob 'e' vImaS.
You are young boys.,loDHom Qup tlhIH.
Are you students at this school?,DuSaQvam ghojwI'pu' tlhIH'a'?
"I think I might join you, but I haven't decided yet.",chaq qamuv 'ach wej jIwuqta'.
"I think I might join you, but I haven't decided yet.",chaq Samuv 'ach wej jIwuqta'.
I need you.,qaghajnIS.
I sincerely hope that you will soon recover from your illness.,tigh bIropHa'choH 'e' vItulqu'!
Your o's look like a's.,'atmey rur 'otmeylIj'e'.
A time will come when you will regret your action.,'opleS ta'lIj Dapay.
I wish you could come with us.,jutlhejlaH vIneH.
I wish you could come with us.,chetlhejlaH vIneH.
Nothing is so tasty as the dish you make.,nay' Davutbogh 'ey law' Hoch 'ey puS.
What you've done is profitable only to the enemy.,jaghvaD lI' neH ta'lIj.
A bear will not touch a dead body.,lom HotQo' mIl'oD.
How long does a bear sleep?,qaStaHvIS poH 'ar QongtaH mIl'oD?
"Take off your socks, please.",paSloghlIj yItuQmoHHa'neS.
"Judging from the look of the sky, it is going to snow.",DaHjaj peDtaH 'e' vInoH chal vIleghDI'.
I prefer a hotel by the airport.,muD Duj verghDaq Sum mebpa'mey vIDabbogh 'e' vImaS.
Without air there can be no wind or sound on the moon.,"muD Hutlhmo' tera' maS, pa' DuHbe' SuS wab je."
The sky is blue.,SuD chal.
The sky is clear and the sun is bright.,Huv chal 'ej wov jul.
I want a few empty glasses.,'op HIvje' chIm vIneH.
I saw something strange in the sky.,chalDaq vay' Huj vIlegh.
The sun is shining in the sky.,chalDaq wovtaH jul.
There isn't a single cloud in the sky.,chalDaq pagh 'eng tu'lu'.
Birds were singing in the sky.,chalDaq bomtaH bo'Deghmey.
The sky has brightened.,wovchoHpu' chal.
Stop grumbling.,'I'SeghIm yIDaQo'!
It's so painful. Stop it!,'oy'qu'. mevyap!
Take a short cut.,qIgh yIghoS!
Can we get to the moon in the near future?,tugh maS wIjaHlaH'a'?
We'll meet some time soon.,tugh wIghomchuq.
My muscles have become soft.,tunchoHpu' SomrawDu'wIj.
"To my surprise, he had a beautiful voice.",mumerpu' ghoghDaj 'eymo'.
Are you mad?,bIQeH'a'?
Bridges are burning and chances are few.,meQtaH QImey 'ej puS 'ebmey.
The bridge is being repainted.,QI nguvmoHlu'lI'.
The bridge is being repaired.,meH tI'lu'lI'.
There is a cottage beyond the bridge.,QI 'emDaq juHHom tu'lu'.
Teachers must understand children.,puqpu' yajnIS ghojmoHwI'pu'.
The teacher had to evaluate all the students.,ghojwI'pu' chovnIS ghojmoHwI'.
You should be respectful to your teachers.,ghojmoHwI'pu'lI' tIvuv!
The instructor advised me to get exercise every day.,Hoch jaj jImI' 'e' chup ghojmoHwI'.
Would you please open the window?,Qorwagh yIpoSmoHneS!
Don't be afraid.,yIHajQo'!
The society was founded in 1990.,DIS 1990 yej'an cherlu'.
A fish can swim.,QallaH ghotI'.
You mustn't enter this room without permission.,chaw' Danoblu'be'chugh pa'vam Da'elbe'nIS.
A gigantic bird came flying toward him.,ghaHDaq ghoStaH puvtaHbogh bo'Degh tInqu'.
Milk is a popular beverage.,Soj Qat 'oH nIm'e'.
Milk is a good beverage.,Soj QaQ 'oH nIm'e'.
The milk turned sour.,wIbchoH nIm.
"You must buy milk, eggs, butter, and so on.","nIm, QImmey, nIm tlhagh, latlh je Daje'nIS."
There is nothing that does not decay.,raghbe' pagh.
Do you need an ambulance?,chach Duj DapoQ'a'?
A sudden illness prevented him from going there.,pay' ropchoHpu'mo' pa' jaHlaHbe'.
"Hurry up, or you'll miss the bus.",bImoDbe'chugh lupwI' DatIjlaHbe'.
I hurried and managed to catch the bus.,jImoDta' 'ej lupwI' vItIjta' tlheDpa'.
Are you in a hurry?,bImoD'a'?
He stayed there during the vacation.,pa' ghaHtaH ghIQtaHvIS.
Enjoy your vacation.,bIghIQtaH 'e' DatIvjaj!
Who is absent?,DachtaH 'Iv?
I did nothing during the holidays.,qaStaHvIS yupma' pagh vIta'.
The house which stands on the hill is very old.,ngo'qu' HuDDaq 'oHbogh qach'e'.
There is a house on the hill.,HuDDaq qach tu'lu'.
Don't forget the fact that smoking is bad for your health.,tlhIch DapurDI' bIpIvHa'choH. ngoDvam yIlIjQo'!
He is second to none when it comes to debating.,ngechwI''e' ghaH Dun law' Hoch Dun puS.
Discussion is based upon mutual respect.,ja'chuqghach DuHmoH vuvchuqghach.
Engineers are crazy about solar energy.,jonwI'pu' Seyqu'moH jul HoS.
What is done cannot be undone.,ta' ta'lu'pu'bogh ta'Ha'laH pagh.
You are beautiful.,bI'IH.
You study English.,DIvI' Hol DaHaDtaH.
A good memory is his weapon.,nuHDaj 'oH qawlaHghachDaj QaQ'e'.
What's the temperature?,Hat yIper!
Look out! There's a car coming.,yIqIm! SumchoHtaH puH Duj!
I met nobody on my way home.,juH vIcheghtaHvIS pagh vIghom.
Press this button to start the machine.,jo' Dachu'meH chu'wI'vam yI'uy!
The money on the desk is not mine.,HuchwIj 'oHbe' raSDaq 'oHbogh Huch'e'.
There is a pair of scissors on the desk.,raSDaq cha''etlh pe'wI' tu'lu'.
"Strange as it is, the story is true.","Huj, teH lutvetlh."
Strange things happened on her birthday.,qaSDI' qoSDaj qaS Dochmey Huj.
I'll be glad to help him.,ghaH vIQaHjaj.
I'm willing to help him.,ghaH vIQaHjaj.
"The more danger, the more honor.","ghurDI' Qob, ghur quv."
Wash up.,yISay''eghmoH!
I'm afraid I took your umbrella by mistake.,Do'Ha' bong SIS yoDlIj vItlhap.
He left his team as he could not get along with the manager.,"ghom muvHa'ta', jIjlaHbe'mo' ghaH vu'wI' je."
I want something sweet.,na'ran rurbogh vay''e' vIneH.
"Even though I felt that there was something strange, I just didn't know what it was.",Huj vay' 'e' vISovtaH 'ach HujwI' vIngu'laHbe'taH.
I have yet to find a perfect husband.,wej loDnal pup vISamta'.
Don't you feel cold?,bIbIrbe''a'?
It was so cold I clung to the blanket all day.,bIrqu'taHmo' tlhIm vI'uchtaH qaStaHvIS jaj naQ.
It's cold. It was foolish of you not to bring your coat.,bIrtaH. weplIj Daqempu'be' 'e' DawuqDI' bIDogh.
It's cold so you should wear a coat.,bIr. vaj weplIj yItuQmoH.
I'm looking for batteries.,'ul 'aplo'mey vInejlI'.
Do you play a musical instrument?,QoQ jan Dachu''a'?
Enjoy yourself!,yItIv'egh!
A student spends a lot of time studying.,HaDmeH poHDaj law' natlh HaDwI'.
Half of the students are absent.,Dach bID HaDwI'pu'.
Half of the students are absent.,Dach bID ghojwI'pu'.
A majority of students dislike history.,qun muS HaDwI'pu' 'ay''a'.
The students assembled in the classroom.,DuSaQ pa'Daq ghom ghojwI'pu'.
I met her on my way to school.,DuSaQ vIghoStaHvIS ghaH vIghom.
Go to school.,DuSaQ yIjaH!
The learned are apt to despise the ignorant.,roD jIvwI' par SovwI'.
The revolutionary council met to plan strategy.,Dup nabmeH ghom Daw' rIp.
Please put a lump of sugar in my coffee.,qa'vInwIjDaq wa' Su'ghar qut ngogh yIlan.
"No doubt he did his best, but he didn't succeed.",nIDqu'bej 'ach Qapbe'.
Each country has its own customs.,tIghmeyDaj ghaj Hoch Sep.
"Generally speaking, Americans are very fond of coffee.",roD qa'vIn luparHa'qu' 'amerI'qa' SepjIjQa'ngan.
"Cover your mouth when you cough, sneeze, or yawn.","bItuStaHvIS, bIchuytaHvIS pagh bIHobtaHvIS nujlIj yISo'!"
You must have a lot of patience to learn foreign languages.,Holmey nov DaghojmeH bItuvqu'nIS.
It's difficult to learn a foreign language.,Hol nov ghojlu'taHvIS Qatlh.
Do you have any foreign stamps?,HIjmeH chaw'mey nov Daghaj'a'?
It is cold outdoors. Put on your coat.,HurDaq bIrtaH. weplIj yItuQmoH.
Come inside because it's cold outside.,bIrtaH Hur. qoD yIjaH!
Look at the picture.,mIlloghvam yIbej!
I hope you are all well.,bIpIvtaH 'e' vItul.
He met his friend while bathing in the sea.,bIQ'a'Daq HaH'eghtaHvIS jupDaj qIHpu'.
He met his friend while bathing in the sea.,bIQ'a'Daq HaH'eghtaHvIS jupDaj ghompu'.
A variety of creatures can be seen under the water.,bIQDaq Ha'DIbaHmey Sar leghlaH vay'.
Turtles live to a great age.,Heghpa' la'SIvmey qanqu'choH.
We're on our way home.,juH wIcheghlI'.
Cover up the injured man with this blanket.,rIQtaHbogh loD velmeH tlhImvam yIlo'!
Some people pursue only pleasure.,bel neH luchav luneH 'op.
The clock that got broken must be repaired right away.,tlhaq ghorlu'pu' 'ej SIbI' tI'ta' net poQ.
The company abandoned that project.,jInmolvetlh lonpu' DIvI'.
I suggested that we bring the meeting to an end.,qep wIvan 'e' vIchupta'.
The meeting ended at three in the afternoon.,rep wa'maH vagh qep vanlu'.
The meeting was canceled.,qep qIllu'.
The meeting will begin at 6:00 and dinner will be served at 7:00.,taghDI' qep wa'maH chorghlogh Qoylu'pu' 'ej 'uQ jablu'DI' wa'maH Hutlogh Qoylu'pu'.
Few people attended the meeting.,qep jeSta' nuvpu' puS.
We must help him immediately.,SIbI' wIQaH! 'ut!
We can rely on his judgement.,yojDaj wIwuvlaH.
We were shocked at the news of his death.,Heghpu' ghaH 'e' wIghojDI' mayay'.
We will explore every planet that goes around the sun.,jul bavbogh ngIq yuQ DIHaD.
We named my son after my grandfather.,puqloDwI'vaD wIpongmeH vavwI' pong wIlo'.
We cleared a path through the woods.,ngem veghmeH He Huv wIchenmoH.
We abandoned the project because of a lack of funds.,jInmol wIlonpu' Huch wIHutlh.
We abandoned the project because of a lack of funds.,Huch wIHutlhtaHmo' jInmol wIghangpu'.
We yawn when we are short of oxygen.,yInSIp yap wIHutlhDI' maHob.
We had to abandon our plan.,nabmaj wIlonnISpu'.
We were talking to each other all the time.,reH maja'chuq.
We insist that this project be carried out immediately.,SIbI' jInmolvam ta'choHlu' 'e' wIqap.
All our things were turned upside down.,Hoch Dochmeymaj luyoymoHlu'.
Our ancestors knew how to read the stars.,Hovmey laDlaH no'ma'.
Our world is only one small part of the universe.,'u' 'ay'Hom neH 'oH qo'maj'e'.
"After our first attack, the enemy fled.",wa'DIch maHIvchoHta'DI' Haw' jagh.
Our factories are working at full capacity.,Qapchu'taH laSvarghmeymaj.
"Completely surrounded by our troops, the enemy finally surrendered to us.",jagh Dechchu'DI' QaSmaj tagha' jegh.
Nothing bars our way.,Hemaj bot pagh.
The day will soon come when we will conquer space and travel to the moon.,wa' jaj logh wIchargh 'ej maS wIjaH. tugh qaS jajvam'e'.
There is a small garden in front of my house.,juH tlhopDaq Du'Hom mach tu'lu'.
He who makes no mistakes makes nothing.,vangbe' Qaghbe'wI'.
I filled a vase with water.,chal bal vItebmeH bIQ vIlo'.
The bride looked very beautiful.,'IHqu' naywI'.
Four families were killed in the fire.,loS qorDu' HoHpu' qulvam.
Don't forget to put out the fire.,qul DachenHa'moH 'e' yIlIjQo'!
Fire is very dangerous.,Qobqu' qul.
Let's sing and dance.,Ha'! mabom 'ej mamI'!
Do you like singing?,bIbom 'e' DaparHa''a'?
Scientists can easily compute the distance between planets.,yuQmey joj chuq luSImlaHchu' tejpu'.
Science can be dangerous when applied carelessly.,QeD lo'lu'chugh 'ej yepHa'chugh QoblaH QeD.
My wife is preparing dinner right now.,DaH 'uQ vutlI' be'nalwI'.
"Before you leave home, make sure your pets have enough food.","juHvo' bImejpa', yap SajmeylIj Soj 'e' yISovbej!"
I'll give you a call when I get home.,juHwIjDaq jIpawDI' qarI'.
"On my way home, I met him.",juH vIcheghtaHvIS ghaH vIghom.
I have spent a lot of money on my house.,juHwIj vIDIlmeH Huch law' vIlo'pu'.
Several houses were carried away by the great flood.,'op qachmey teqpu' SoD'a'.
How long will it take?,ghorgh rInpu'?
I've seen one many times.,pIj wa' Daleghpu'.
No one can be more wise than destiny.,San val law' Hoch val puS.
How many people?,nuv 'ar?
How many people?,ghot 'ar?
What time did you eat?,bISopDI' 'arlogh Qoylu'pu'?
What time shall I pick you up?,ghorgh DaDorchoH DaneH?
When will you come home?,ghorgh juH Dachegh?
Some of the birds didn't fly.,puvbe' 'op bo'Deghmey.
Some of the birds didn't fly.,puvbe'pu' 'op bo'Deghmey.
What did you buy?,nuq Daje'ta'?
What are you reading?,nuq DaleghtaH?
What are you cross about?,qatlh bIberghtaH?
What was stolen?,nuq nIHlu'ta'?
What're you waiting for?,nuq DaloSlI'?
What're you waiting for?,qatlh bIloS?
What are you laughing at?,qatlh bIHaghtaH?
What did you make?,nuq DachenmoHta'?
What are you thinking about?,nuq DaqeltaH?
What are you going to see?,nuq Dalegh 'e' DaHechtaH?
What will you have to drink?,nuq Datlhutlh DaneH?
It is no use your pretending that you know nothing.,"pagh DaSov 'e' DaghetDI', pagh Dachav."
"He exclaimed, ""What a dirty face you have!""",jatlh «lamqu' qablIj!»
She managed to learn to drive a car.,puH Duj chIjlaHmeH ghojta' ghaH.
Do something!,yIvang!
Will you manage to repair my car?,puH DujwIj DatI'laH'a'?
I'll do anything.,vay' vIta'qang.
What's my book doing here?,qatlh naDev 'oHtaH paqwIj'e'?
May I have something hot to drink?,vay' tuj vItlhutlhlaH'a'?
Is there any fresh news?,De' ghoQ tu'lu''a'?
Is there any fresh news?,De' chu'qu' tu'lu''a'?
Bring me something to eat.,vay' vISoplaHbogh yIqem.
I'd like something to eat.,vay' vISop vIneH.
Do you have any questions?,Sughel boneH'a'?
Do you have a plan?,nab Daghaj'a'?
What's going on?,qaS nuq?
Can you play any musical instruments?,QoQ jan Dachu'laH'a'?
Has anything strange happened?,qaSpu''a' wanI' Huj?
Anything new?,De' chu' tu'lu''a'?
He is a mean fellow.,loD qej ghaH.
We shipped the following to you last week.,wa' Hogh ret SoHvaD tepvam wIngeH.
I came to this country for the purpose of studying music.,Sepvam vI'elta' QoQ vIHaDmeH.
I want to eat warm soup.,chatlh ghun vI'ep vIneH.
Let's eat while the food is warm.,ghuntaHvIS Soj maSopjaj!
I'm a free man.,loD tlhab jIH.
Was I wrong?,jIlughbe''a'?
Was I wrong?,bIQ ngaS'a' HIvje'wIj?
I'm a hero.,Sub jIH.
Leave me alone!,HI'uchHa'!
It was too nice a day to stay inside.,qach qoDDaq ratlhlu'meH QaQ jajvam.
I saw the moon above the roof.,beb DungDaq maS vIlegh.
The king crushed his enemies.,jaghpu'Daj HoHchu'ta' ta'.
The king abused his power.,woQDaj ghong ta'.
Please clean the dirty floor.,rav lam yIlamHa'choHmoH!
Put down your pencil.,ghojmeH ghItlhwI'lIj yIroQ
Put down your pencil and listen to me.,ghojmeH ghItlhwI'lIj yIroQ 'ej ghoghwIj yIqIm!
May I use your pencil? Any one will do.,ghojmeH ghItlhwI'lIj vIlo' 'e' Dachaw''a'? vay' vISaHbe'.
I bought a dozen pencils today.,DaHjaj wa'maH cha' ghojmeH ghItlhwI'mey vIje'ta'.
I've lost my pencil.,ghojmeH ghItlhwI' vIchIlpu'.
I have lost my pencil.,ghojmeH ghItlhwI'lIj vIchIlpu'.
The point of the pencil has become dull.,jejHa'choHpu' ghojmeH ghItlhwI'vam QIn.
Please write with a pencil.,DaghItlhmeH ghojmeH ghItlhwI' yIlo'!
Please write your name with a pencil.,ponglIj DaghItlhmeH ghojmeH ghItlhwI' yIlo'!
I need a pencil. Can I use one of yours?,ghojmeH ghItlhwI' vIpoQ. wa' ghItlhwI'lIj vIlo' 'e' Dachaw''a'?
My pencil fell off the edge of my desk.,raSwIj HeHvo' pumpu' ghojmeH ghItlhwI'wIj.
Please give me a pencil and some sheets of paper.,"ghojmeH ghItlhwI', navmey je HInob!"
"Seen from a distance, the stone looks like a human face.","Daq Hopvo' leghlu'chugh, Human qab rur naghvam."
"On my arrival at the station, I will call you.",tengchaHDaq jIpawDI' qarI'.
The satellite is now in orbit.,DaH bavtaH SIbDoH.
